puma_code,puma_area_name
06 03726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA"
06 03727,Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA
06 03728,Los Angeles County (Southwest)--Santa Monica City PUMA
06 03729,Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA
06 03730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA
06 03731,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA
06 03732,Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA
06 03733,Los Angeles County (Central)--LA City (Central/Koreatown) PUMA
06 03734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA"
06 03735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA"
06 03736,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA
06 03737,Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA
06 03738,Los Angeles County (Central)--El Monte & South El Monte Cities PUMA
06 03739,Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA
06 03740,Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA
06 03741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA"
06 03742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA"
06 03743,Los Angeles County (Central)--East Los Angeles PUMA
06 03744,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA
06 03745,Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA
06 03746,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA
06 03747,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA
06 03748,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA
06 03749,Los Angeles County (Central)--Inglewood City PUMA
06 03750,Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA
06 03751,Los Angeles County (South Central)--LA City (South Central/Watts) PUMA
06 03752,Los Angeles County (South)--South Gate & Lynwood Cities PUMA
06 03753,Los Angeles County (South)--Downey City PUMA
06 03754,Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA
06 03755,Los Angeles County (Southeast)--Norwalk City PUMA
06 03756,Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA
06 03757,Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA
06 03758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA"
06 03759,Los Angeles County (South Central)--Hawthorne City PUMA
06 03760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA"
06 03761,Los Angeles County (South Central)--Torrance City PUMA
06 03762,Los Angeles County (South Central)--Carson City PUMA
06 03763,Los Angeles County (South Central)--Long Beach City (North) PUMA
06 03764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA"
06 03765,Los Angeles County (Southeast)--Long Beach City (East) PUMA
06 03766,Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA
06 03767,Los Angeles County (South)--LA City (South/San Pedro) PUMA
06 03768,Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA
06 03769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA
06 03900,Madera County--Madera City PUMA
06 04101,Marin County (North & West)--Novato & San Rafael (North) Cities PUMA
06 04102,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA"
06 04701,Merced County (West & South)--Los Banos & Livingston Cities PUMA
06 04702,Merced County (Northeast)--Merced & Atwater Cities PUMA
06 05301,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA"
06 05302,Monterey County (Northeast)--Salinas City PUMA
06 05303,Monterey (South & East) & San Benito Counties PUMA
06 05500,Napa County--Napa City PUMA
06 05700,Nevada & Sierra Counties PUMA
06 05901,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA"
06 05902,Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA
06 05903,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA"
06 05904,Orange County (Central)--Irvine City (Central) PUMA
06 05905,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA"
06 05906,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA"
06 05907,Orange County (North Central)--Fullerton & Placentia Cities PUMA
06 05908,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA"
06 05909,Orange County (North Central)--Anaheim City (West) PUMA
06 05910,Orange County (North Central)--Anaheim City (East) PUMA
06 05911,Orange County (Central)--Orange & Villa Park Cities PUMA
06 05912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA"
06 05913,Orange County (Northwest)--Garden Grove City (East) PUMA
06 05914,Orange County (Northwest)--Huntington Beach City PUMA
06 05915,Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA
06 05916,Orange County (Central)--Santa Ana City (West) PUMA
06 05917,Orange County (Central)--Santa Ana City (East) PUMA
06 05918,Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA
06 06101,Placer County (Southwest)--Roseville City PUMA
06 06102,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA"
06 06103,Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA
06 06501,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA"
06 06502,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA"
06 06503,Riverside County (Southwest)--Temecula City PUMA
06 06504,Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA
06 06505,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA"
06 06506,Riverside County (Southwest)--Hemet City & East Hemet PUMA
06 06507,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA"
06 06508,Riverside County (Northwest)--Moreno Valley City PUMA
06 06509,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA"
06 06510,Riverside County (Northwest)--Riverside City (East) PUMA
06 06511,Riverside County (Northwest)--Riverside City (West) PUMA
06 06512,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA"
06 06513,Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA
